,image,label
0,./datasets/ObjectImages/000005_0.jpg,9
1,./datasets/ObjectImages/000005_1.jpg,9
2,./datasets/ObjectImages/000005_2.jpg,9
3,./datasets/ObjectImages/000005_3.jpg,9
4,./datasets/ObjectImages/000005_4.jpg,9
5,./datasets/ObjectImages/000007_0.jpg,7
6,./datasets/ObjectImages/000009_0.jpg,13
7,./datasets/ObjectImages/000009_1.jpg,15
8,./datasets/ObjectImages/000009_2.jpg,15
9,./datasets/ObjectImages/000009_3.jpg,15
10,./datasets/ObjectImages/000012_0.jpg,7
11,./datasets/ObjectImages/000016_0.jpg,2
12,./datasets/ObjectImages/000017_0.jpg,15
13,./datasets/ObjectImages/000017_1.jpg,13
14,./datasets/ObjectImages/000019_0.jpg,8
15,./datasets/ObjectImages/000019_1.jpg,8
16,./datasets/ObjectImages/000020_0.jpg,7
17,./datasets/ObjectImages/000021_0.jpg,12
18,./datasets/ObjectImages/000021_1.jpg,15
19,./datasets/ObjectImages/000021_2.jpg,15
20,./datasets/ObjectImages/000021_3.jpg,15
21,./datasets/ObjectImages/000023_0.jpg,2
22,./datasets/ObjectImages/000023_1.jpg,2
23,./datasets/ObjectImages/000023_2.jpg,2
24,./datasets/ObjectImages/000023_3.jpg,15
25,./datasets/ObjectImages/000023_4.jpg,15
26,./datasets/ObjectImages/000023_5.jpg,15
27,./datasets/ObjectImages/000024_0.jpg,19
28,./datasets/ObjectImages/000026_0.jpg,7
29,./datasets/ObjectImages/000030_0.jpg,2
30,./datasets/ObjectImages/000030_1.jpg,15
31,./datasets/ObjectImages/000030_2.jpg,15
32,./datasets/ObjectImages/000032_0.jpg,1
33,./datasets/ObjectImages/000032_1.jpg,1
34,./datasets/ObjectImages/000032_2.jpg,15
35,./datasets/ObjectImages/000032_3.jpg,15
36,./datasets/ObjectImages/000033_0.jpg,1
37,./datasets/ObjectImages/000033_1.jpg,1
38,./datasets/ObjectImages/000033_2.jpg,1
39,./datasets/ObjectImages/000034_0.jpg,19
40,./datasets/ObjectImages/000034_1.jpg,19
41,./datasets/ObjectImages/000035_0.jpg,15
42,./datasets/ObjectImages/000035_1.jpg,15
43,./datasets/ObjectImages/000035_2.jpg,15
44,./datasets/ObjectImages/000035_3.jpg,11
45,./datasets/ObjectImages/000036_0.jpg,12
46,./datasets/ObjectImages/000039_0.jpg,20
47,./datasets/ObjectImages/000041_0.jpg,20
48,./datasets/ObjectImages/000041_1.jpg,15
49,./datasets/ObjectImages/000041_2.jpg,15
50,./datasets/ObjectImages/000042_0.jpg,19
51,./datasets/ObjectImages/000042_1.jpg,19
52,./datasets/ObjectImages/000044_0.jpg,9
53,./datasets/ObjectImages/000044_1.jpg,8
54,./datasets/ObjectImages/000046_0.jpg,3
55,./datasets/ObjectImages/000047_0.jpg,7
56,./datasets/ObjectImages/000047_1.jpg,9
57,./datasets/ObjectImages/000048_0.jpg,3
58,./datasets/ObjectImages/000048_1.jpg,15
59,./datasets/ObjectImages/000050_0.jpg,9
60,./datasets/ObjectImages/000050_1.jpg,9
61,./datasets/ObjectImages/000050_2.jpg,5
62,./datasets/ObjectImages/000050_3.jpg,5
63,./datasets/ObjectImages/000050_4.jpg,5
